ADMITTEDQUOTE,ADMITTEDVALUE,BOARDID,CLOSE,HIGH,LEGALCLOSEPRICE,LOW,MARKETPRICE2,MARKETPRICE3,MARKETPRICE3TRADESVALUE,MP2VALTRD,NUMTRADES,OPEN,SECID,SHORTNAME,TRADEDATE,TRADINGSESSION,VALUE,VOLUME,WAPRICE,WAVAL
34.025,4777150.2,TQBR,,,34.072,,34.025,34.025,4777150.2,4777150.2,0,,ALRS,АЛРОСА ао,2013-07-08,3,0.0,0,,
34.038,2855800.1,TQBR,,,34.006,,34.038,34.038,2855800.1,2855800.1,0,,ALRS,АЛРОСА ао,2013-07-09,3,0.0,0,,
34.017,41926536.6,TQBR,,,34.0,,34.017,34.017,41926536.6,41926536.6,0,,ALRS,АЛРОСА ао,2013-07-10,3,0.0,0,,
34.043,26172262.6,TQBR,,,34.035,,34.043,34.043,26172262.6,26172262.6,0,,ALRS,АЛРОСА ао,2013-07-11,3,0.0,0,,
33.857,15713240.0,TQBR,,,33.782,,33.857,33.857,15713240.0,15713240.0,0,,ALRS,АЛРОСА ао,2013-07-12,3,0.0,0,,
33.73,4516413.8,TQBR,,,33.889,,33.73,33.73,4516413.8,4516413.8,0,,ALRS,АЛРОСА ао,2013-07-15,3,0.0,0,,
33.707,4115638.8,TQBR,,,33.589,,33.707,33.707,4115638.8,4115638.8,0,,ALRS,АЛРОСА ао,2013-07-16,3,0.0,0,,
33.561,5114727.4,TQBR,,,33.515,,33.561,33.561,5114727.4,5114727.4,0,,ALRS,АЛРОСА ао,2013-07-17,3,0.0,0,,
33.144,5412487.0,TQBR,,,33.123,,33.144,33.144,5412487.0,5412487.0,0,,ALRS,АЛРОСА ао,2013-07-18,3,0.0,0,,
33.142,2011696.0,TQBR,,,33.081,,33.142,33.142,2011696.0,2011696.0,0,,ALRS,АЛРОСА ао,2013-07-19,3,0.0,0,,
33.05,10612464.8,TQBR,,,33.184,,33.05,33.05,10612464.8,10612464.8,0,,ALRS,АЛРОСА ао,2013-07-22,3,0.0,0,,
33.156,2102104.7,TQBR,,,33.059,,33.156,33.156,2102104.7,2102104.7,0,,ALRS,АЛРОСА ао,2013-07-23,3,0.0,0,,
33.0,56466247.8,TQBR,,,33.046,,33.0,33.0,56466247.8,56466247.8,0,,ALRS,АЛРОСА ао,2013-07-24,3,0.0,0,,
33.021,7802802.3,TQBR,,,33.0,,33.021,33.021,7802802.3,7802802.3,0,,ALRS,АЛРОСА ао,2013-07-25,3,0.0,0,,
33.03,2602798.4,TQBR,,,33.167,,33.03,33.03,2602798.4,2602798.4,0,,ALRS,АЛРОСА ао,2013-07-26,3,0.0,0,,
33.23,2276234.1,TQBR,,,33.093,,33.23,33.23,2276234.1,2276234.1,0,,ALRS,АЛРОСА ао,2013-07-29,3,0.0,0,,
33.325,9867662.6,TQBR,,,33.039,,33.325,33.325,9867662.6,9867662.6,0,,ALRS,АЛРОСА ао,2013-07-30,3,0.0,0,,
33.253,6803507.2,TQBR,,,33.399,,33.253,33.253,6803507.2,6803507.2,0,,ALRS,АЛРОСА ао,2013-07-31,3,0.0,0,,
33.697,11878108.6,TQBR,,,33.836,,33.697,33.697,11878108.6,11878108.6,0,,ALRS,АЛРОСА ао,2013-08-01,3,0.0,0,,
33.226,1986933.1,TQBR,,,33.065,,33.226,33.226,1986933.1,1986933.1,0,,ALRS,АЛРОСА ао,2013-08-02,3,0.0,0,,
33.162,1757592.2,TQBR,,,33.213,,33.162,33.162,1757592.2,1757592.2,0,,ALRS,АЛРОСА ао,2013-08-05,3,0.0,0,,
33.007,5555041.7,TQBR,,,32.996,,33.007,33.007,5555041.7,5555041.7,0,,ALRS,АЛРОСА ао,2013-08-06,3,0.0,0,,
33.017,9809457.6,TQBR,,,33.006,,33.017,33.017,9809457.6,9809457.6,0,,ALRS,АЛРОСА ао,2013-08-07,3,0.0,0,,
33.038,3862173.4,TQBR,,,33.001,,33.038,33.038,3862173.4,3862173.4,0,,ALRS,АЛРОСА ао,2013-08-08,3,0.0,0,,
32.322,334018442.3,TQBR,,,33.082,,32.322,32.322,334018442.3,334018442.3,0,,ALRS,АЛРОСА ао,2013-08-09,3,0.0,0,,
33.0,8197295.0,TQBR,,,33.099,,33.0,33.0,8197295.0,8197295.0,0,,ALRS,АЛРОСА ао,2013-08-12,3,0.0,0,,
33.076,5960241.6,TQBR,,,33.248,,33.076,33.076,5960241.6,5960241.6,0,,ALRS,АЛРОСА ао,2013-08-13,3,0.0,0,,
33.127,7185287.2,TQBR,,,33.024,,33.127,33.127,7185287.2,7185287.2,0,,ALRS,АЛРОСА ао,2013-08-14,3,0.0,0,,
33.016,8954065.5,TQBR,,,33.0,,33.016,33.016,8954065.5,8954065.5,0,,ALRS,АЛРОСА ао,2013-08-15,3,0.0,0,,
